id,name,location,country,latitude,longitude,rating,priceCategory,type,img,link
110681,One White Street,New York,USA,40.7193546,-74.006101,1,4,Contemporary,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f1e1a128e4a5474b866e763422abda0a.jpeg,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/one-white-street
110644,Dirt Candy,New York,USA,40.71794,-73.99087,1,4,Vegetarian,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2bae27d6bd9f45fa88050ff9b0b64f37.jpeg,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/dirt-candy
110607,Family Meal at Blue Hill,New York,USA,40.7319711,-73.9996385,1,4,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0c4ea42fb28e4d22bcea597607e94e08.jpeg,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blue-hill
110478,Blue Hill at Stone Barns,Tarrytown,USA,41.1007146,-73.8292966,2,4,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c9146dd0e06543a383cefc369d5570c3.jpeg,https://guide.michelin.com/us/en/new-york-state/tarrytown/restaurant/blue-hill-at-stone-barns
110338,Oyster Oyster,Washington,USA,38.909302,-77.023015,1,3,Vegetarian,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f6f94ffa8e914b5483b59ddea8c11378.jpeg,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/oyster-oyster
110270,The Inn at Little Washington,Washington,USA,38.7134767,-78.1595348,3,4,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b3996754e4054731b52c93a7fc803621.jpeg,https://guide.michelin.com/us/en/district-of-columbia/washington-dc/restaurant/the-inn-at-little-washington
110164,Daisies,Chicago,USA,41.9242037,-87.6988684,0,2,Italian,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d8b28d68d38e4d18a04aeb8adcde222e.jpg,https://guide.michelin.com/us/en/illinois/chicago/restaurant/daisies
107792,Emmer & Rye,Austin,USA,30.2564562,-97.739818,0,3,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/98d5edd8d5e74898b2136f9baf5dbfc9.jpg,https://guide.michelin.com/us/en/texas/austin_2958315/restaurant/emmer-rye
107745,Dai Due,Austin,USA,30.2847517,-97.7167116,0,2,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6f94f09e49f548ecb85b533f66646645.jpg,https://guide.michelin.com/us/en/texas/austin_2958315/restaurant/dai-due
105594,The Chastain,Atlanta,USA,33.8731698,-84.3964879,-1,3,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f824138aa0454472973c23182d90b17d.jpeg,https://guide.michelin.com/us/en/georgia/atlanta_2884144/restaurant/the-chastain
105584,Bacchanalia,Atlanta,USA,33.795105,-84.427274,1,4,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1bcada35fa0c4ee7a79189e11b931646.jpg,https://guide.michelin.com/us/en/georgia/atlanta_2884144/restaurant/bacchanalia-1196004
103553,Bramble & Hare,Boulder,USA,40.018145,-105.2785678,-1,3,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2d9658861a4640efac33193f7775ba79.jpg,https://guide.michelin.com/us/en/colorado/boulder_1261512/restaurant/bramble-hare
103544,Brutø,Denver,USA,39.7527561,-104.9969767,1,4,Mexican,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3d6cfa70d2aa4bd7aa51d288c1267aaa.jpeg,https://guide.michelin.com/us/en/colorado/denver_1261491/restaurant/bruto
103542,Blackbelly Market,Boulder,USA,40.0148356,-105.2279535,-1,3,American,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0d9cc891f7ce4503809bf5b2064b6cca.jpg,https://guide.michelin.com/us/en/colorado/boulder_1261512/restaurant/blackbelly-market
103510,The Wolf's Tailor,Denver,USA,39.77277,-105.01088,1,4,Contemporary,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/19e05ebe292147bf89256071b273588d.jpg,https://guide.michelin.com/us/en/colorado/denver_1261491/restaurant/the-wolf-s-tailor
102943,Chez Panisse,Berkeley,USA,37.879715,-122.26893,-1,4,Californian,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/86bb17507a914f69b871477cfd2a53ee.jpeg,https://guide.michelin.com/us/en/california/berkeley/restaurant/chez-panisse
